"","Date","Type","Name","Active_Cases","Cumulative_Active_cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","All_Faculty_Staff_Total","All_Student_Total","Cumulative_Group_Total"
"23",2021-08-30,"PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",33,NA,6,39,58,NA,NA,NA
"24",2021-08-30,"PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",33,NA,14,63,86,NA,NA,NA
"25",2021-08-30,"PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",33,NA,0,45,46,NA,NA,NA
"26",2021-08-30,"PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",33,NA,12,92,116,NA,NA,NA
"27",2021-08-30,"PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",33,NA,7,48,68,NA,NA,NA
"28",2021-08-30,"PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",32,NA,8,47,59,NA,NA,NA
"29",2021-08-30,"PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",32,NA,NA,NA,48,NA,NA,NA
"30",2021-08-30,"PUBLIC SCHOOL DISTRICT","DOVER SCHOOL DIST",32,NA,NA,NA,40,NA,NA,NA
"31",2021-08-30,"PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",31,NA,11,56,81,NA,NA,NA
"32",2021-08-30,"PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",29,NA,5,27,40,NA,NA,NA
"33",2021-08-30,"PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",28,NA,6,29,44,NA,NA,NA
"34",2021-08-30,"PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",28,NA,12,47,70,NA,NA,NA
"35",2021-08-30,"PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",27,NA,7,49,70,NA,NA,NA
"37",2021-08-30,"PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",27,NA,NA,NA,50,NA,NA,NA
"38",2021-08-30,"PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",26,NA,5,29,40,NA,NA,NA
"39",2021-08-30,"PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",26,NA,6,34,49,NA,NA,NA
"40",2021-08-30,"PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",26,NA,6,31,45,NA,NA,NA
"41",2021-08-30,"PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",26,NA,6,26,44,NA,NA,NA
"42",2021-08-30,"PUBLIC SCHOOL DISTRICT","CADDO HILLS SCHOOL DIST",25,NA,6,28,35,NA,NA,NA
"43",2021-08-30,"PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",25,NA,NA,NA,34,NA,NA,NA
"44",2021-08-30,"PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",25,NA,9,61,75,NA,NA,NA
"45",2021-08-30,"PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",25,NA,6,45,56,NA,NA,NA
"46",2021-08-30,"PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",25,NA,9,29,43,NA,NA,NA
"47",2021-08-30,"PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",24,NA,9,25,47,NA,NA,NA
"48",2021-08-30,"PUBLIC SCHOOL DISTRICT","KIPP DELTA PUBLIC SCHOOL DIST",24,NA,NA,NA,40,NA,NA,NA
"49",2021-08-30,"PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",23,NA,0,22,32,NA,NA,NA
"50",2021-08-30,"PUBLIC SCHOOL DISTRICT","EMERSON",23,NA,NA,NA,26,NA,NA,NA
"51",2021-08-30,"PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",23,NA,NA,NA,51,NA,NA,NA
"52",2021-08-30,"PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",23,NA,5,45,53,NA,NA,NA
"53",2021-08-30,"PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",23,NA,6,28,42,NA,NA,NA
"54",2021-08-30,"PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",23,NA,9,21,37,NA,NA,NA
"56",2021-08-30,"PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",23,NA,NA,NA,31,NA,NA,NA
"57",2021-08-30,"PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",23,NA,5,15,26,NA,NA,NA
"58",2021-08-30,"PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",22,NA,6,32,48,NA,NA,NA
"59",2021-08-30,"PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",21,NA,NA,NA,33,NA,NA,NA
"60",2021-08-30,"PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",21,NA,17,52,77,NA,NA,NA
"61",2021-08-30,"PUBLIC SCHOOL DISTRICT","GLEN ROSE SCHOOL DIST",20,NA,NA,NA,33,NA,NA,NA
"62",2021-08-30,"PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",19,NA,5,25,41,NA,NA,NA
"63",2021-08-30,"PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",19,NA,6,36,45,NA,NA,NA
"64",2021-08-30,"PUBLIC SCHOOL DISTRICT","HOT SPRINGS SCHOOL DIST",19,NA,5,27,32,NA,NA,NA
"65",2021-08-30,"PUBLIC SCHOOL DISTRICT","MAGAZINE SCHOOL DIST",19,NA,5,16,22,NA,NA,NA
"66",2021-08-30,"PUBLIC SCHOOL DISTRICT","POTTSVILLE SCHOOL DIST",19,NA,NA,NA,31,NA,NA,NA
"67",2021-08-30,"PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",19,NA,NA,NA,22,NA,NA,NA
"68",2021-08-30,"PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",18,NA,0,21,24,NA,NA,NA
"69",2021-08-30,"PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",18,NA,NA,NA,35,NA,NA,NA
"70",2021-08-30,"PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",18,NA,9,45,56,NA,NA,NA
"71",2021-08-30,"PUBLIC SCHOOL DISTRICT","GUY",18,NA,0,17,18,NA,NA,NA
"72",2021-08-30,"PUBLIC SCHOOL DISTRICT","LISA ACADEMY",18,NA,7,29,46,NA,NA,NA
"73",2021-08-30,"PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",18,NA,NA,NA,26,NA,NA,NA
"75",2021-08-30,"PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",18,NA,8,23,40,NA,NA,NA
"76",2021-08-30,"PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",17,NA,7,19,33,NA,NA,NA
"77",2021-08-30,"PUBLIC SCHOOL DISTRICT","MINERAL SPRINGS SCHOOL DIST",17,NA,NA,NA,19,NA,NA,NA
"78",2021-08-30,"PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",17,NA,NA,NA,39,NA,NA,NA
"79",2021-08-30,"PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",17,NA,NA,NA,30,NA,NA,NA
"80",2021-08-30,"PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",17,NA,8,33,55,NA,NA,NA
"81",2021-08-30,"PUBLIC SCHOOL DISTRICT","WATSON CHAPEL SCHOOL DIST",17,NA,NA,NA,33,NA,NA,NA
"82",2021-08-30,"PUBLIC SCHOOL DISTRICT","BARTON",16,NA,NA,NA,25,NA,NA,NA
"83",2021-08-30,"PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",16,NA,NA,NA,32,NA,NA,NA
"84",2021-08-30,"PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",16,NA,NA,NA,33,NA,NA,NA
"85",2021-08-30,"PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",16,NA,5,14,22,NA,NA,NA
"86",2021-08-30,"PUBLIC SCHOOL DISTRICT","NEVADA SCHOOL DIST",16,NA,0,17,17,NA,NA,NA
"87",2021-08-30,"PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",16,NA,NA,NA,21,NA,NA,NA
"88",2021-08-30,"PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",15,NA,6,17,26,NA,NA,NA
"89",2021-08-30,"PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",15,NA,10,28,44,NA,NA,NA
"90",2021-08-30,"PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",15,NA,5,22,30,NA,NA,NA
"91",2021-08-30,"PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",15,NA,NA,NA,19,NA,NA,NA
"92",2021-08-30,"PUBLIC SCHOOL DISTRICT","HAZEN SCHOOL DIST",15,NA,NA,NA,17,NA,NA,NA
"94",2021-08-30,"PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",15,NA,5,21,28,NA,NA,NA
"95",2021-08-30,"PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",15,NA,NA,NA,18,NA,NA,NA
"96",2021-08-30,"PUBLIC SCHOOL DISTRICT","JACKSONVILLE LIGHTHOUSE CHARTER",14,NA,NA,NA,21,NA,NA,NA
"97",2021-08-30,"PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",14,NA,NA,NA,24,NA,NA,NA
"98",2021-08-30,"PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",13,NA,NA,NA,24,NA,NA,NA
"99",2021-08-30,"PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",13,NA,7,16,27,NA,NA,NA
"100",2021-08-30,"PUBLIC SCHOOL DISTRICT","HARMONY GROVE SCH DIST(SALINE)",13,NA,NA,NA,21,NA,NA,NA
"101",2021-08-30,"PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",13,NA,NA,NA,23,NA,NA,NA
"102",2021-08-30,"PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",13,NA,11,18,32,NA,NA,NA
"103",2021-08-30,"PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",13,NA,NA,NA,27,NA,NA,NA
"104",2021-08-30,"PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",13,NA,NA,NA,21,NA,NA,NA
"105",2021-08-30,"PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",13,NA,NA,NA,23,NA,NA,NA
"106",2021-08-30,"PUBLIC SCHOOL DISTRICT","SEARCY COUNTY SCHOOL DIST",13,NA,NA,NA,25,NA,NA,NA
"107",2021-08-30,"PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",12,NA,NA,NA,14,NA,NA,NA
"108",2021-08-30,"PUBLIC SCHOOL DISTRICT","COUNTY LINE SCHOOL DIST",12,NA,NA,NA,18,NA,NA,NA
"109",2021-08-30,"PUBLIC SCHOOL DISTRICT","PINE BLUFF SCHOOL DIST",12,NA,NA,NA,30,NA,NA,NA
"110",2021-08-30,"PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",11,NA,NA,NA,15,NA,NA,NA
"111",2021-08-30,"PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",11,NA,NA,NA,19,NA,NA,NA
"113",2021-08-30,"PUBLIC SCHOOL DISTRICT","EAST POINSETT CO. SCHOOL DIST",11,NA,NA,NA,14,NA,NA,NA
"114",2021-08-30,"PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",11,NA,NA,NA,17,NA,NA,NA
"115",2021-08-30,"PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",11,NA,NA,NA,16,NA,NA,NA
"116",2021-08-30,"PUBLIC SCHOOL DISTRICT","MOUNTAIN PINE SCHOOL DIST",11,NA,NA,NA,15,NA,NA,NA
"117",2021-08-30,"PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",11,NA,NA,NA,23,NA,NA,NA
"118",2021-08-30,"PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",11,NA,0,11,13,NA,NA,NA
"119",2021-08-30,"PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",11,NA,NA,NA,24,NA,NA,NA
"120",2021-08-30,"PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",10,NA,0,11,17,NA,NA,NA
"121",2021-08-30,"PUBLIC SCHOOL DISTRICT","DEWITT SCHOOL DIST",10,NA,0,13,16,NA,NA,NA
"122",2021-08-30,"PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",10,NA,NA,NA,25,NA,NA,NA
"123",2021-08-30,"PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",10,NA,5,12,18,NA,NA,NA
"124",2021-08-30,"PUBLIC SCHOOL DISTRICT","HELENA/WEST HELENA SCHOOL DIST",10,NA,NA,NA,16,NA,NA,NA
"125",2021-08-30,"PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",10,NA,NA,NA,35,NA,NA,NA
"126",2021-08-30,"PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",10,NA,NA,NA,22,NA,NA,NA
"127",2021-08-30,"PUBLIC SCHOOL DISTRICT","MAYFLOWER SCHOOL DIST",10,NA,NA,NA,13,NA,NA,NA
"128",2021-08-30,"PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",10,NA,NA,NA,19,NA,NA,NA
"129",2021-08-30,"PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",10,NA,NA,NA,17,NA,NA,NA
"130",2021-08-30,"PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",10,NA,NA,NA,21,NA,NA,NA
"132",2021-08-30,"PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",9,NA,NA,NA,18,NA,NA,NA
"133",2021-08-30,"PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",9,NA,NA,NA,26,NA,NA,NA
"134",2021-08-30,"PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",9,NA,6,16,31,NA,NA,NA
"135",2021-08-30,"PUBLIC SCHOOL DISTRICT","CARLISLE SCHOOL DIST",9,NA,5,10,22,NA,NA,NA
"136",2021-08-30,"PUBLIC SCHOOL DISTRICT","DUMAS SCHOOL DIST",9,NA,NA,NA,16,NA,NA,NA
"137",2021-08-30,"PUBLIC SCHOOL DISTRICT","EUREKA SPRINGS SCHOOL DIST",9,NA,NA,NA,13,NA,NA,NA
"138",2021-08-30,"PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",9,NA,NA,NA,30,NA,NA,NA
"139",2021-08-30,"PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",9,NA,0,10,12,NA,NA,NA
"140",2021-08-30,"PUBLIC SCHOOL DISTRICT","HECTOR SCHOOL DIST",9,NA,NA,NA,13,NA,NA,NA
"141",2021-08-30,"PUBLIC SCHOOL DISTRICT","HOXIE SCHOOL DIST",9,NA,0,16,17,NA,NA,NA
"142",2021-08-30,"PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",9,NA,0,12,16,NA,NA,NA
"143",2021-08-30,"PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",9,NA,NA,NA,24,NA,NA,NA
"144",2021-08-30,"PUBLIC SCHOOL DISTRICT","LINCOLN SCHOOL DIST",9,NA,NA,NA,17,NA,NA,NA
"145",2021-08-30,"PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",9,NA,NA,NA,17,NA,NA,NA
"146",2021-08-30,"PUBLIC SCHOOL DISTRICT","AUGUSTA SCHOOL DIST",8,NA,NA,NA,11,NA,NA,NA
"147",2021-08-30,"PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",8,NA,0,6,11,NA,NA,NA
"148",2021-08-30,"PUBLIC SCHOOL DISTRICT","FOUNTAIN LAKE SCHOOL DIST",8,NA,NA,NA,18,NA,NA,NA
"149",2021-08-30,"PUBLIC SCHOOL DISTRICT","HORATIO SCHOOL DIST",8,NA,NA,NA,19,NA,NA,NA
"151",2021-08-30,"PUBLIC SCHOOL DISTRICT","MAGNET COVE SCHOOL DIST",8,NA,NA,NA,18,NA,NA,NA
"152",2021-08-30,"PUBLIC SCHOOL DISTRICT","WARREN SCHOOL DIST",8,NA,NA,NA,17,NA,NA,NA
"153",2021-08-30,"PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",8,NA,NA,NA,10,NA,NA,NA
"154",2021-08-30,"PUBLIC SCHOOL DISTRICT","YELLVILLE",8,NA,NA,NA,12,NA,NA,NA
"155",2021-08-30,"PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",7,NA,0,12,13,NA,NA,NA
"156",2021-08-30,"PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",7,NA,NA,NA,15,NA,NA,NA
"157",2021-08-30,"PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",7,NA,NA,NA,18,NA,NA,NA
"158",2021-08-30,"PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",7,NA,NA,NA,16,NA,NA,NA
"159",2021-08-30,"PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",7,NA,5,8,18,NA,NA,NA
"160",2021-08-30,"PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",7,NA,NA,NA,14,NA,NA,NA
"161",2021-08-30,"PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",7,NA,NA,NA,24,NA,NA,NA
"162",2021-08-30,"PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",7,NA,NA,NA,13,NA,NA,NA
"163",2021-08-30,"PUBLIC SCHOOL DISTRICT","SMACKOVER",7,NA,0,7,10,NA,NA,NA
"164",2021-08-30,"PUBLIC SCHOOL DISTRICT","STAR CITY SCHOOL DIST",7,NA,NA,NA,26,NA,NA,NA
"165",2021-08-30,"PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",7,NA,NA,NA,12,NA,NA,NA
"166",2021-08-30,"PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",7,NA,NA,NA,28,NA,NA,NA
"167",2021-08-30,"PUBLIC SCHOOL DISTRICT","WESTERN YELL CO. SCHOOL DIST",7,NA,NA,NA,10,NA,NA,NA
"168",2021-08-30,"PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",6,NA,0,25,36,NA,NA,NA
"170",2021-08-30,"PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",6,NA,NA,NA,7,NA,NA,NA
"171",2021-08-30,"PUBLIC SCHOOL DISTRICT","CEDARVILLE SCHOOL DIST",6,NA,NA,NA,12,NA,NA,NA
"172",2021-08-30,"PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",6,NA,0,11,13,NA,NA,NA
"173",2021-08-30,"PUBLIC SCHOOL DISTRICT","FOREMAN SCHOOL DIST",6,NA,NA,NA,10,NA,NA,NA
"174",2021-08-30,"PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",6,NA,NA,NA,10,NA,NA,NA
"175",2021-08-30,"PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",6,NA,NA,NA,18,NA,NA,NA
"176",2021-08-30,"PUBLIC SCHOOL DISTRICT","JUNCTION CITY SCHOOL DIST",6,NA,NA,NA,7,NA,NA,NA
"177",2021-08-30,"PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",6,NA,0,8,11,NA,NA,NA
"178",2021-08-30,"PUBLIC SCHOOL DISTRICT","MT. VERNON/ENOLA SCHOOL DIST",6,NA,NA,NA,14,NA,NA,NA
"179",2021-08-30,"PUBLIC SCHOOL DISTRICT","PARIS SCHOOL DIST",6,NA,NA,NA,13,NA,NA,NA
"180",2021-08-30,"PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",6,NA,0,8,9,NA,NA,NA
"181",2021-08-30,"PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",6,NA,NA,NA,15,NA,NA,NA
"182",2021-08-30,"PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",5,NA,NA,NA,15,NA,NA,NA
"183",2021-08-30,"PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",5,NA,0,9,10,NA,NA,NA
"184",2021-08-30,"PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",5,NA,NA,NA,7,NA,NA,NA
"185",2021-08-30,"PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",5,NA,NA,NA,15,NA,NA,NA
"186",2021-08-30,"PUBLIC SCHOOL DISTRICT","EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",5,NA,0,11,12,NA,NA,NA
"187",2021-08-30,"PUBLIC SCHOOL DISTRICT","LEE COUNTY SCHOOL DIST",5,NA,0,5,5,NA,NA,NA
"189",2021-08-30,"PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",5,NA,NA,NA,12,NA,NA,NA
"190",2021-08-30,"PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",5,NA,NA,NA,10,NA,NA,NA
"191",2021-08-30,"PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",5,NA,5,9,14,NA,NA,NA
"192",2021-08-30,"PUBLIC SCHOOL DISTRICT","NEMO VISTA SCHOOL DIST",5,NA,NA,NA,6,NA,NA,NA
"193",2021-08-30,"PUBLIC SCHOOL DISTRICT","OUACHITA SCHOOL DIST",5,NA,NA,NA,13,NA,NA,NA
"194",2021-08-30,"PUBLIC SCHOOL DISTRICT","OZARK MOUNTAIN SCHOOL DIST",5,NA,NA,NA,14,NA,NA,NA
"195",2021-08-30,"PUBLIC SCHOOL DISTRICT","RECTOR SCHOOL DIST",5,NA,NA,NA,11,NA,NA,NA
"196",2021-08-30,"PUBLIC SCHOOL DISTRICT","VIOLA SCHOOL DIST",5,NA,0,6,6,NA,NA,NA
"197",2021-08-30,"PUBLIC SCHOOL DISTRICT","WESTSIDE SCHOOL DIST (JOHNSON)",5,NA,NA,NA,10,NA,NA,NA
"198",2021-08-30,"PUBLIC SCHOOL DISTRICT","TOTAL",3684,NA,879,5190,7299,NA,NA,NA
"199",2021-08-30,"PUBLIC SCHOOL DISTRICT","NUMBER OF SCHOOLS LISTED: 186",NA,NA,NA,NA,NA,NA,NA,NA
"200",2021-08-30,"PRIVATE SCHOOL","PRIVATE SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA
"201",2021-08-30,"PRIVATE SCHOOL","ST. JOSEPH CATHOLIC SCHOOL, CONWAY",19,NA,NA,NA,28,NA,NA,NA
"202",2021-08-30,"PRIVATE SCHOOL","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",7,NA,NA,NA,19,NA,NA,NA
"203",2021-08-30,"PRIVATE SCHOOL","ST. THERESA CATHOLIC SCHOOL, LITTLE ROCK",5,NA,NA,NA,5,NA,NA,NA
"204",2021-08-30,"PRIVATE SCHOOL","TOTAL",31,NA,NA,NA,52,NA,NA,NA
"205",2021-08-30,"COLLEGE/UNIVERSITY","COLLEGE/UNIVERSITY",NA,NA,NA,NA,NA,NA,NA,NA
"207",2021-08-30,"COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",135,NA,39,86,225,NA,NA,NA
"208",2021-08-30,"COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",44,NA,16,48,110,NA,NA,NA
"209",2021-08-30,"COLLEGE/UNIVERSITY","U OF A, PINE BLUFF",27,NA,7,23,42,NA,NA,NA
"210",2021-08-30,"COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",19,NA,13,5,71,NA,NA,NA
"211",2021-08-30,"COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",17,NA,5,24,37,NA,NA,NA
