"","Type","timeframe_8_1_2021_present","active_cases","cumulative_faculty_staff_casesa","x5","cumulative_student_casesa","x7","cumulative_totalb","x9","Date"
"82","PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST","5","8",NA,"50",NA,"63",NA,2021-11-28
"83","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST","5","15",NA,"193",NA,"225",NA,2021-11-28
"84","PUBLIC SCHOOL DISTRICT","EXALT ACADEMY OF SOUTHWEST LITTLE ROCK","5","--",NA,"--",NA,"26",NA,2021-11-28
"85","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST","5","25",NA,"187",NA,"214",NA,2021-11-28
"86","PUBLIC SCHOOL DISTRICT","HAAS HALL ACADEMY","5","6",NA,"17",NA,"24",NA,2021-11-28
"87","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST","5","21",NA,"126",NA,"177",NA,2021-11-28
"88","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)","5","9",NA,"75",NA,"94",NA,2021-11-28
"89","PUBLIC SCHOOL DISTRICT","LISA ACADEMY","5","21",NA,"90",NA,"132",NA,2021-11-28
"90","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST","5","5",NA,"47",NA,"56",NA,2021-11-28
"91","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST","5","7",NA,"57",NA,"70",NA,2021-11-28
"92","PUBLIC SCHOOL DISTRICT","WEST SIDE SCHOOL DIST(CLEBURNE)","5","10",NA,"20",NA,"41",NA,2021-11-28
"93","PUBLIC SCHOOL DISTRICT","Timeframe: 8/1/2021 - Present","Active Cases","Cumulative Faculty/Staff Casesa",NA,"Cumulative Student Casesa",NA,"Cumulative Totalb",NA,2021-11-28
"94","PUBLIC SCHOOL DISTRICT","TOTAL","1245","1896",NA,"12167",NA,"16113",NA,2021-11-28
"95","PUBLIC SCHOOL DISTRICT","NUMBER OF SCHOOLS LISTED: 87",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"96","PRIVATE SCHOOL","PRIVATE SCHOOL",NA,NA,NA,NA,NA,"0",NA,2021-11-28
"97","PRIVATE SCHOOL","TOTAL","0","0",NA,"0",NA,NA,NA,2021-11-28
"98","COLLEGE/UNIVERSITY","COLLEGE/UNIVERSITY",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"99","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE","20","84",NA,"417",NA,"773",NA,2021-11-28
"100","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY","17","33",NA,"123",NA,"233",NA,2021-11-28
"101","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY","8","17",NA,"84",NA,"217",NA,2021-11-28
"102","COLLEGE/UNIVERSITY","ASU - NEWPORT, JONESBORO","5","7",NA,"27",NA,"45",NA,2021-11-28
"103","COLLEGE/UNIVERSITY","TOTAL","50","141",NA,"651",NA,"1268",NA,2021-11-28
"104","COLLEGE/UNIVERSITY","NUMBER OF SCHOOLS LISTED: 6",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"105","COLLEGE/UNIVERSITY","aN/A: Counts of less than five cases not reported to protect patient confidentiality.",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"106","COLLEGE/UNIVERSITY","bStudent and faculty/staff cases may not add up to the cumulative total due to unavailable data.",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"107","COLLEGE/UNIVERSITY","cNovember 22, 2021",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"108","Totals among schools with less than 5 active cases.","Totals among schools with less than 5 active cases.","Cumulative Active Cases",NA,"Cumulative Faculty/Staff Casesa",NA,"Cumulative Student Casesa",NA,"Cumulative Totalb",2021-11-28
"109","Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS","180",NA,"1430",NA,"7716",NA,"10346",2021-11-28
"110","Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS","31",NA,"136",NA,"537",NA,"724",2021-11-28
"111","Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES","70",NA,"335",NA,"1112",NA,"2141",2021-11-28
"112","Totals among schools with less than 5 active cases.","aN/A: Counts of less than five cases not reported to protect patient confidentiality.",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"113","Totals among schools with less than 5 active cases.","bStudent and faculty/staff cases may not add up to the cumulative total due to unavailable data.",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"114","Totals among schools with less than 5 active cases.","CNovember 22, 2021",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"115","Totals for all schools.","Totals for all schools.","Cumulative Active Cases",NA,"Cumulative Faculty/Staff Casesa",NA,"Cumulative Student Casesa",NA,"Cumulative Totalb",2021-11-28
"116","Totals for all schools.","PUBLIC SCHOOL DISTRICTS","1425",NA,"3326",NA,"19883",NA,"26459",2021-11-28
"117","Totals for all schools.","PRIVATE SCHOOLS","31",NA,"136",NA,"537",NA,"724",2021-11-28
"118","Totals for all schools.","COLLEGES/UNIVERSITIES","120",NA,"476",NA,"1763",NA,"3409",2021-11-28
"119","Totals for all schools.","aN/A: Counts of less than five cases not reported to protect patient confidentiality.",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"120","Totals for all schools.","bStudent and faculty/staff cases may not add up to the cumulative total due to unavailable data.",NA,NA,NA,NA,NA,NA,NA,2021-11-28
"121","Totals for all schools.","CNovember 22, 2021",NA,NA,NA,NA,NA,NA,NA,2021-11-28
